unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,index
1.60E+12,10/4/2020 0:00,BTC/USDT,10542.07,10696.87,10517.87,10666.63,23212.0016,246252050.9,377553,1146
1.60E+12,10/3/2020 0:00,BTC/USDT,10570.4,10603.56,10496.46,10542.06,22298.22134,235160884.6,381329,1145
1.60E+12,10/2/2020 0:00,BTC/USDT,10619.13,10664.64,10374,10570.4,50130.39371,526864379.3,777193,1144
1.60E+12,10/1/2020 0:00,BTC/USDT,10776.59,10920,10437,10619.13,60866.33289,652168989.5,794855,1143
1.60E+12,9/30/2020 0:00,BTC/USDT,10840.58,10849.34,10665.13,10776.59,39596.02732,425279696.3,595383,1142
1.60E+12,9/29/2020 0:00,BTC/USDT,10696.11,10867.54,10635.87,10840.48,41874.8984,449345822.5,587576,1141
1.60E+12,9/28/2020 0:00,BTC/USDT,10774.26,10950,10626,10696.12,50095.25173,544463219.6,686664,1140
1.60E+12,9/27/2020 0:00,BTC/USDT,10728.59,10799,10594.82,10774.25,30549.48325,327169249.5,516004,1139
1.60E+12,9/26/2020 0:00,BTC/USDT,10686.57,10820.94,10644.68,10728.6,28420.83666,304511477.7,502670,1138
1.60E+12,9/25/2020 0:00,BTC/USDT,10736.33,10760.53,10556.24,10686.67,48101.11701,512647249.1,733430,1137
1.60E+12,9/24/2020 0:00,BTC/USDT,10241.46,10795.24,10190.93,10736.32,57676.61943,604520870.1,789282,1136
1.60E+12,9/23/2020 0:00,BTC/USDT,10529.61,10537.15,10136.82,10241.46,51876.56808,539362015.2,774391,1135
1.60E+12,9/22/2020 0:00,BTC/USDT,10417.22,10572.71,10353,10529.61,43991.23548,460362500.7,738576,1134
1.60E+12,9/21/2020 0:00,BTC/USDT,10920.28,10988.86,10296.35,10417.22,70683.43118,751020795.2,1028531,1133
1.60E+12,9/20/2020 0:00,BTC/USDT,11080.64,11080.64,10723,10920.28,39157.92257,426815210.8,646329,1132
1.60E+12,9/19/2020 0:00,BTC/USDT,10933.4,11179.79,10887.37,11080.65,38440.03686,423651901.2,620127,1131
1.60E+12,9/18/2020 0:00,BTC/USDT,10940,11038.03,10812.84,10933.39,47266.72828,516147935.7,717371,1130
1.60E+12,9/17/2020 0:00,BTC/USDT,10954.01,11045.46,10745.83,10939.99,55601.61453,605010288.8,829137,1129
1.60E+12,9/16/2020 0:00,BTC/USDT,10785.23,11093,10661.22,10954.01,64991.51244,708644989.5,884153,1128
1.60E+12,9/15/2020 0:00,BTC/USDT,10671.77,10930.04,10606.48,10785.31,61822.45279,666457161.1,893852,1127
